köpdatum, säljdatum, procentandel, bostadsrättsid, person
2019-01-10, null, 100, 1, 8801013684
2018-01-03, null, 100, 2, 8801055354
2019-05-17, null, 100, 5, 7801056099
2018-10-25, null, 100, 10, 7801051397
2019-05-03, null, 100, 12, 5501055734
2019-06-05, null, 100, 11, 5601056590
2019-10-03, null, 100, 9, 5801053983
2019-12-03, null, 100, 30, 6801056497
2019-07-13, null, 100, 25, 6901059268
2019-12-23, null, 100, 33, 6910064184
2019-08-05, null, 100, 11, 7910106900
2019-04-17, null, 100, 14, 7910054233
2019-01-03, null, 100, 16, 8605096596
2019-11-11, null, 100, 23, 8605109506
2018-04-03, null, 100, 22, 9012248192
2019-03-03, 2019-03-04, 100, 27, 8208159817
2019-01-03, null, 100, 32, 8202134345
2019-01-03, null, 50, 41, 7609166256
2019-01-03, null, 50, 41, 7609129346
2019-03-04, null, 100, 27, 8207107049
